                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6175,                    0.4,                      1,                 1.5745,               7.14e-05,               7.14e-05,               7.14e-05
                      2,                 1.4555,                0.57778,                      1,                 1.5446,             0.00014499,             0.00014499,             0.00014499
                      3,                 1.2793,                0.64444,                      1,                 1.4687,              0.0002134,              0.0002134,              0.0002134
                      4,                 1.1134,                0.77778,                      1,                  1.378,             0.00027663,             0.00027663,             0.00027663
                      5,                 0.8729,                0.82222,                      1,                 1.2573,             0.00033467,             0.00033467,             0.00033467
                      6,                0.63846,                0.84444,                      1,                 1.2195,             0.00038752,             0.00038752,             0.00038752
                      7,                0.48739,                0.86667,                      1,                  1.171,              0.0004352,              0.0004352,              0.0004352
                      8,                0.44253,                0.88889,                      1,                 1.0629,             0.00047769,             0.00047769,             0.00047769
                      9,                0.35761,                0.88889,                      1,                  1.037,             0.00051499,             0.00051499,             0.00051499
                     10,                0.25292,                0.86667,                      1,                 1.0831,             0.00050194,             0.00050194,             0.00050194
                     11,                0.19272,                0.88889,                      1,                 1.0288,             0.00047838,             0.00047838,             0.00047838
                     12,                0.16855,                0.88889,                      1,                 1.0506,             0.00045482,             0.00045482,             0.00045482
                     13,                0.17784,                0.88889,                      1,                 1.0334,             0.00043126,             0.00043126,             0.00043126
                     14,                0.11176,                0.86667,                      1,                 1.0686,             0.00040769,             0.00040769,             0.00040769
                     15,                0.12772,                0.88889,                      1,                  1.065,             0.00038413,             0.00038413,             0.00038413
                     16,                0.11634,                0.91111,                      1,                 1.0639,             0.00036057,             0.00036057,             0.00036057
                     17,                0.10891,                0.86667,                      1,                 1.0046,             0.00033701,             0.00033701,             0.00033701
                     18,                0.09046,                0.88889,                      1,                 1.0438,             0.00031345,             0.00031345,             0.00031345
                     19,                0.08694,                0.88889,                      1,                 1.0257,             0.00028988,             0.00028988,             0.00028988
                     20,                 0.0769,                0.91111,                      1,                0.99409,             0.00026632,             0.00026632,             0.00026632
                     21,                0.06652,                0.91111,                      1,                  1.001,             0.00024276,             0.00024276,             0.00024276
                     22,                0.09991,                0.88889,                      1,                 1.0176,              0.0002192,              0.0002192,              0.0002192
                     23,                0.05368,                0.88889,                      1,                 1.0177,             0.00019564,             0.00019564,             0.00019564
                     24,                0.07764,                0.88889,                      1,                 1.0132,             0.00017207,             0.00017207,             0.00017207
                     25,                0.05322,                0.86667,                      1,                 1.0262,             0.00014851,             0.00014851,             0.00014851
                     26,                0.09696,                0.88889,                      1,                 1.0631,             0.00012495,             0.00012495,             0.00012495
                     27,                0.07873,                0.86667,                      1,                 0.9997,             0.00010139,             0.00010139,             0.00010139
                     28,                0.04539,                0.88889,                      1,                0.98782,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.09096,                0.86667,                      1,                 1.0287,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.05248,                0.88889,                      1,                 1.0244,             3.0702e-05,             3.0702e-05,             3.0702e-05
