                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.27508,                0.94286,                      1,                0.78423,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                0.28583,                0.94286,                      1,                0.98773,             0.00011838,             0.00011838,             0.00011838
                      3,                0.22136,                0.94286,                      1,                0.78653,             0.00017645,             0.00017645,             0.00017645
                      4,                0.21727,                0.94286,                      1,                0.78787,             0.00023134,             0.00023134,             0.00023134
                      5,                0.26766,                0.91429,                      1,                0.86672,             0.00028306,             0.00028306,             0.00028306
                      6,                0.17389,                0.91429,                      1,                0.79935,             0.00033159,             0.00033159,             0.00033159
                      7,                0.17404,                0.91429,                      1,                0.87293,             0.00037694,             0.00037694,             0.00037694
