                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8223,                      0,                      1,                 1.7931,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 2.4458,                0.02857,                      1,                 1.6714,             0.00010636,             0.00010636,             0.00010636
                      3,                 2.0206,                0.02857,                      1,                 1.6793,             0.00013969,             0.00013969,             0.00013969
                      4,                 1.6179,                0.22857,                      1,                 1.5524,             0.00015712,             0.00015712,             0.00015712
                      5,                 1.3558,                0.51429,                      1,                  1.444,             0.00015865,             0.00015865,             0.00015865
                      6,                 1.1313,                0.71429,                      1,                 1.3269,             0.00014427,             0.00014427,             0.00014427
                      7,                 1.0063,                0.77143,                      1,                 1.3091,             0.00011399,             0.00011399,             0.00011399
                      8,                 0.9286,                    0.8,                      1,                 1.3388,             6.7803e-05,             6.7803e-05,             6.7803e-05
