                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6094,                0.39024,                      1,                 1.5772,              6.426e-05,              6.426e-05,              6.426e-05
                      2,                 1.4858,                 0.5122,                      1,                 1.5663,             0.00012223,             0.00012223,             0.00012223
                      3,                 1.3587,                0.68293,                      1,                 1.5247,             0.00016606,             0.00016606,             0.00016606
                      4,                 1.1987,                0.68293,                      1,                 1.4456,             0.00019576,             0.00019576,             0.00019576
