                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1126,                0.70732,                      1,                 1.3621,              6.426e-05,              6.426e-05,              6.426e-05
                      2,                 1.0113,                0.70732,                      1,                 1.3793,             9.0892e-05,             9.0892e-05,             9.0892e-05
                      3,                0.94465,                0.70732,                      1,                 1.3609,               7.04e-05,               7.04e-05,               7.04e-05
