                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5942,                0.39024,                      1,                 1.5752,              6.426e-05,              6.426e-05,              6.426e-05
                      2,                 1.4958,                0.56098,                      1,                 1.5718,              0.0001088,              0.0001088,              0.0001088
                      3,                 1.3897,                0.58537,                      1,                 1.5368,             0.00012506,             0.00012506,             0.00012506
