                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.3727,                0.94286,                      1,                0.78368,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                0.32535,                0.94286,                      1,                0.96943,             0.00010936,             0.00010936,             0.00010936
                      3,                0.47306,                0.94286,                      1,                 0.7865,             0.00014888,             0.00014888,             0.00014888
                      4,                  0.221,                0.94286,                      1,                0.78574,             0.00017568,             0.00017568,             0.00017568
                      5,                0.27639,                0.94286,                      1,                0.86978,             0.00018975,             0.00018975,             0.00018975
                      6,                0.20622,                0.94286,                      1,                0.80382,              0.0001911,              0.0001911,              0.0001911
                      7,                0.19361,                0.94286,                      1,                0.83652,             0.00017973,             0.00017973,             0.00017973
                      8,                0.19104,                0.94286,                      1,                0.78803,             0.00015563,             0.00015563,             0.00015563
                      9,                0.23085,                0.94286,                      1,                 0.7933,             0.00011881,             0.00011881,             0.00011881
                     10,                0.21966,                0.94286,                      1,                0.81391,             6.9265e-05,             6.9265e-05,             6.9265e-05
