                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7687,                      0,                      1,                 1.7972,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 2.3996,                0.02857,                      1,                 1.6537,             0.00010936,             0.00010936,             0.00010936
                      3,                 2.0515,                0.05714,                      1,                 1.6873,             0.00014888,             0.00014888,             0.00014888
                      4,                 1.6085,                0.11429,                      1,                 1.5688,             0.00017568,             0.00017568,             0.00017568
                      5,                 1.2936,                0.57143,                      1,                 1.4386,             0.00018975,             0.00018975,             0.00018975
                      6,                 1.0291,                    0.8,                      1,                  1.291,              0.0001911,              0.0001911,              0.0001911
                      7,                0.93042,                0.82857,                      1,                 1.2514,             0.00017973,             0.00017973,             0.00017973
                      8,                0.82131,                0.82857,                      1,                 1.2674,             0.00015563,             0.00015563,             0.00015563
                      9,                0.75638,                0.82857,                      1,                 1.1861,             0.00011881,             0.00011881,             0.00011881
                     10,                0.70293,                0.82857,                      1,                  1.139,             6.9265e-05,             6.9265e-05,             6.9265e-05
